anio,departamento/sede,tipo,valor
2018,SAN NICOLAS,Interlocutorios,322
2018,TRENQUE LAUQUEN,Interlocutorios,29
2018,ZARATE-CAMPANA,Interlocutorios,199
2018,AZUL,Incompetencia,274
2018,AZUL Sede OLAVARRIA,Incompetencia,82
2018,AZUL Sede TANDIL,Incompetencia,22
2018,BAHIA BLANCA,Incompetencia,380
2018,BAHIA BLANCA Sede TRES ARROYOS,Incompetencia,12
2018,DOLORES,Incompetencia,42
2018,JUNIN,Incompetencia,162
2018,LA MATANZA,Incompetencia,489
2018,LA PLATA,Incompetencia,1366
2018,LOMAS DE ZAMORA,Incompetencia,706
2018,LOMAS DE ZAMORA Sede AVELLANEDA,Incompetencia,14
2018,LOMAS DE ZAMORA Sede LANUS,Incompetencia,74
2018,MAR DEL PLATA,Incompetencia,338
2018,MERCEDES,Incompetencia,265
2018,MORENO-GRAL.RODRIGUEZ,Incompetencia,38
2018,MORON,Incompetencia,462
2018,NECOCHEA,Incompetencia,40
2018,PERGAMINO,Incompetencia,32
2018,QUILMES,Incompetencia,152
2018,SAN ISIDRO,Incompetencia,1432
2018,SAN MARTIN,Incompetencia,983
2018,SAN NICOLAS,Incompetencia,851
2018,TRENQUE LAUQUEN,Incompetencia,71
2018,ZARATE-CAMPANA,Incompetencia,318
2018,AZUL,Total Resueltas,2918
2018,AZUL Sede OLAVARRIA,Total Resueltas,2088
2018,AZUL Sede TANDIL,Total Resueltas,1787
2018,BAHIA BLANCA,Total Resueltas,4089
2018,BAHIA BLANCA Sede TRES ARROYOS,Total Resueltas,1117
2018,DOLORES,Total Resueltas,1027
2018,JUNIN,Total Resueltas,1979
2018,LA MATANZA,Total Resueltas,4889
2018,LA PLATA,Total Resueltas,11442
2018,LOMAS DE ZAMORA,Total Resueltas,8084
2018,LOMAS DE ZAMORA Sede AVELLANEDA,Total Resueltas,621
2018,LOMAS DE ZAMORA Sede LANUS,Total Resueltas,609
2018,MAR DEL PLATA,Total Resueltas,4819
2018,MERCEDES,Total Resueltas,3505
2018,MORENO-GRAL.RODRIGUEZ,Total Resueltas,1655
2018,MORON,Total Resueltas,6992
