anio,departamento/sede,tipo,valor
2017,LA PLATA,Total Resueltas,5519
2017,LOMAS DE ZAMORA,Total Resueltas,4295
2017,LOMAS DE ZAMORA Sede AVELLANEDA,Total Resueltas,1146
2017,LOMAS DE ZAMORA Sede LANUS,Total Resueltas,1044
2017,MAR DEL PLATA,Total Resueltas,4714
2017,MERCEDES,Total Resueltas,698
2017,MERCEDES Sede BRAGADO,Total Resueltas,524
2017,MORENO-GRAL.RODRIGUEZ,Total Resueltas,602
2017,MORON,Total Resueltas,2366
2017,NECOCHEA,Total Resueltas,257
2017,PERGAMINO,Total Resueltas,729
2017,QUILMES,Total Resueltas,3423
2017,QUILMES Sede FLORENCIO VARELA,Total Resueltas,229
2017,SAN ISIDRO,Total Resueltas,6536
2017,SAN ISIDRO Sede PILAR,Total Resueltas,803
2017,SAN MARTIN,Total Resueltas,2683
2017,SAN MARTIN Sede SAN MIGUEL,Total Resueltas,1116
2017,SAN NICOLAS,Total Resueltas,2539
2017,TRENQUE LAUQUEN,Total Resueltas,511
2017,ZARATE-CAMPANA Sede CAMPANA,Total Resueltas,1438
2017,ZARATE-CAMPANA Sede ZARATE,Total Resueltas,1419
2018,AZUL,Ingresadas,364
2018,AZUL Sede OLAVARRIA,Ingresadas,669
2018,AZUL Sede TANDIL,Ingresadas,719
2018,BAHIA BLANCA,Ingresadas,1614
2018,BAHIA BLANCA Sede TRES ARROYOS,Ingresadas,286
2018,DOLORES,Ingresadas,1513
2018,JUNIN,Ingresadas,1240
2018,LA MATANZA,Ingresadas,3623
2018,LA PLATA,Ingresadas,8116
2018,LOMAS DE ZAMORA,Ingresadas,5116
2018,LOMAS DE ZAMORA Sede AVELLANEDA,Ingresadas,1334
2018,LOMAS DE ZAMORA Sede LANUS,Ingresadas,1767
2018,MAR DEL PLATA,Ingresadas,5193
2018,MERCEDES,Ingresadas,1085
2018,MERCEDES Sede BRAGADO,Ingresadas,451
2018,MORENO-GRAL.RODRIGUEZ,Ingresadas,1087
2018,MORON,Ingresadas,3001
2018,NECOCHEA,Ingresadas,318
2018,PERGAMINO,Ingresadas,809
2018,QUILMES,Ingresadas,3584
2018,QUILMES Sede FLORENCIO VARELA,Ingresadas,797
2018,SAN ISIDRO,Ingresadas,8176
2018,SAN ISIDRO Sede PILAR,Ingresadas,1328
2018,SAN MARTIN,Ingresadas,3092
2018,SAN MARTIN Sede SAN MIGUEL,Ingresadas,1980
2018,SAN NICOLAS,Ingresadas,1947
2018,TRENQUE LAUQUEN,Ingresadas,404
2018,ZARATE-CAMPANA Sede CAMPANA,Ingresadas,965
2018,ZARATE-CAMPANA Sede ZARATE,Ingresadas,1001
2018,AZUL,Sentencia,59
2018,AZUL Sede OLAVARRIA,Sentencia,135
2018,AZUL Sede TANDIL,Sentencia,124
2018,BAHIA BLANCA,Sentencia,303
2018,BAHIA BLANCA Sede TRES ARROYOS,Sentencia,90
2018,DOLORES,Sentencia,178
2018,JUNIN,Sentencia,271
2018,LA MATANZA,Sentencia,298
2018,LA PLATA,Sentencia,1426
2018,LOMAS DE ZAMORA,Sentencia,746
2018,LOMAS DE ZAMORA Sede AVELLANEDA,Sentencia,152
2018,LOMAS DE ZAMORA Sede LANUS,Sentencia,152
2018,MAR DEL PLATA,Sentencia,610
2018,MERCEDES,Sentencia,173
2018,MERCEDES Sede BRAGADO,Sentencia,84
2018,MORENO-GRAL.RODRIGUEZ,Sentencia,100
2018,MORON,Sentencia,396
2018,NECOCHEA,Sentencia,54
2018,PERGAMINO,Sentencia,144
2018,QUILMES,Sentencia,447
2018,QUILMES Sede FLORENCIO VARELA,Sentencia,89
2018,SAN ISIDRO,Sentencia,694
2018,SAN ISIDRO Sede PILAR,Sentencia,113
2018,SAN MARTIN,Sentencia,251
2018,SAN MARTIN Sede SAN MIGUEL,Sentencia,200
2018,SAN NICOLAS,Sentencia,189
2018,TRENQUE LAUQUEN,Sentencia,74
2018,ZARATE-CAMPANA Sede CAMPANA,Sentencia,206
2018,ZARATE-CAMPANA Sede ZARATE,Sentencia,106
2018,AZUL,Conciliación,300
2018,AZUL Sede OLAVARRIA,Conciliación,261
2018,AZUL Sede TANDIL,Conciliación,430
